origin_icao,total_payload
FIMP,236010.59960000002
SBFZ,235198.8769
UHWW,235021.8996
NZWN,234026.27870000002
RKTU,233471.61800000002
MMSD,231128.399
VOCL,231079.95270000002
RCSS,225917.95
RJFT,224496.19939999998
ZSWZ,222866.8218
MSLP,222498.0367
CYMX,220586.87960000001
KSBD,219842.3885
DIAP,217607.9265
OPST,216551.9949
KBUF,213673.8892
KMDT,213514.7085
ZGKL,213182.50530000002
WIPP,212207.6471
SPZO,209604.4
KGEG,208510.8978
SKCL,205649.6
ZGOW,205385.6171
TTPP,205338.1595
USPP,205249.1765
SBPA,201844.0937
UWUU,200277.0042
RJOA,200199.8856
UIII,200169.2359
ZBSJ,199495.93120000002
EIDW,196427.9951
LGAV,194377.4313
SKSP,191807.80000000002
KRIC,190578.84590000001
EPKT,185842.9729
EGGW,185381.25
WIBB,184028.7084
LGIR,183813.1718
WALL,183575.8838
EDDN,183361.3359
UHHH,183259.4998
KAFW,181983.0881
NFFN,180363.5975
TFFF,179799.04979999998
SVMI,176428.5715
NZCH,176303.9953
EGKK,175781.96169999999
KMHT,175237.188
VYYY,173158.9406
SKSM,172033.80000000002
SUMU,169317.84110000002
HESH,169025.1859
ROIG,168246.0903
VICG,168079.0
LFPO,166945.9498
ZSYT,166868.83120000002
WIDD,166547.5037
CYOW,165211.77000000002
LKPR,161874.9075
RJSS,161347.9304
SLVR,160860.5013
USRR,160128.8633
YMHB,158300.757
KBIL,157387.19819999998
VDPP,157086.6334
ZGFS,156141.4362
KCHS,156020.8148
SCFA,155720.25
KPVD,155100.3351
UNOO,154867.99060000002
RJFM,154825.4765
EDFH,152392.28579999998
KCAE,151468.84000000003
RPVM,151271.1
VIJP,150282.4
UGTB,150219.1232
KTYS,147627.7405
KLRD,147377.5994
MUHA,145966.7245
LGRP,145748.2218
LEMG,145654.2953
MMHO,144569.6914
TBPB,144154.4374
FZAA,143637.3473
UEEE,142867.15
KBFI,142786.0766
CYYJ,142444.9751
WAHI,142058.3934
ZSNT,142025.76630000002
USCC,141972.3765
EDDG,140352.8859
WAMM,140222.3775
KDSM,140205.5696
OIII,139463.0559
LHBP,139090.316
UTDD,138771.9546
LOWW,138233.11310000002
MMCU,137810.9382
CYHM,137705.14729999998
VVPQ,137429.3
VILK,137429.3
UHSS,136401.052
OTBD,136301.1933
RKJJ,135452.8887
SBSV,135379.7249
TLPL,135268.0018
LTFE,135093.9906
KTUS,135031.7025
KRFD,133164.0482
SKPE,132980.15000000002
ZLLL,132980.15
LGSA,132894.1331
SBSG,132863.4834
RPMD,132485.8
KTUL,131835.2354
KGRR,131713.6253
VVVH,131497.1
SPQU,131497.1
TNCC,129556.2819
RJOT,129234.9544
OPPS,128702.0451
KALB,128667.4406
RJFO,128309.5312
ORBI,128226.4804
RJOM,128141.4522
KORF,127642.1587
TJBQ,127393.00630000001
EYVI,127334.67300000001
OEDF,126059.25
SCCF,125564.9
KFAT,125313.7702
GCLP,124947.95120000001
DTTA,124931.1433
YSCB,124849.0812
MMTG,123640.8898
KLAL,122803.4609
SBGO,122526.6249
ZHYC,122377.3312
LEAL,122240.8906
EKCH,122211.2296
KBHM,122188.4895
UIUU,121305.5804
SOCA,120542.304
VTSS,120485.94810000001
UWWW,120263.4906
UNBB,119590.1859
TAPA,119436.9374
KNIP,118593.57629999999
GVAC,118467.0227
SCIE,117655.3
WMKJ,117476.34530000002
KJAN,115700.6401
RJCH,115466.3182
KLCK,114439.0589
RPVE,114194.85
ZPLJ,113259.5398
UCFO,112711.8
KMSN,112642.59100000001
RJNK,112248.09969999999
LBSF,112138.354
ETAR,111930.72699999998
PGUM,111220.8404
UHPP,111084.3998
RKTN,110735.38870000001
TFFR,110734.4
HEBA,110438.7787
HUEN,110061.0953
SKBQ,109799.0898
KMYR,108810.3898
UWOO,108800.5028
KSUU,107994.7123
CYQB,107512.2267
VTUD,105432.9906
ESSA,105381.5782
SBCT,105349.93980000001
KFAR,104110.11000000002
DAAG,104090.33600000001
KMLB,103983.5564
HSSK,103752.20060000001
TNCA,103734.40400000001
ZSZS,103592.0312
WATT,103499.09340000001
NWWW,103140.19529999999
LGKO,103097.6812
LTAF,102665.6193
EGCC,102202.9077
VTSG,101836.1
WADL,101700.6481
UTAA,101668.02100000001
HTDA,99437.5138
VVCR,98870.0
MMCS,98658.4182
ZSYA,98196.6953
WIOO,97743.8707
ZSYN,97702.3453
CYXX,97513.5036
WMKL,97207.99530000001
MMLO,96075.9338
TNCB,94910.2565
VEBS,94420.85
KYIP,94387.2342
ZSCG,93979.8898
VEGT,92443.45
GABS,91770.1453
KBIF,90748.8182
KMHR,90748.8182
MMTO,89607.8584
GBYD,89337.9433
MMQT,88877.20910000001
EVRA,88858.4238
LTAJ,87951.7859
KABE,87789.6391
RJOK,87530.59969999999
ZMCK,87530.59969999999
LTAU,87519.724
FTTJ,87202.3513
VAID,87005.6
VTSM,86511.25
YBTL,86153.3406
UWKD,86153.3406
RJDC,86153.3406
WAPP,86017.88870000001
WAOO,85924.9509
UNTT,85658.9906
RJOS,85237.8044
YPDN,85204.1886
DNAA,85102.35250000001
WAHS,84820.573
ORER,84354.8953
NZQN,84354.8953
UNEE,84312.3812
WBSB,84113.6525
FKYS,83922.8334
LCLK,83860.5453
KPWM,83681.5906
RJOB,82767.04310000001
ZGHZ,82556.45000000001
RPVA,82556.45000000001
WIKD,82513.93590000001
YBSU,82513.93590000001
WASS,82513.93590000001
WAML,82420.9981
SAZS,82081.87400000001
ZGCD,82062.1
GCRR,82019.5859
FSIA,82018.5972
MMCL,81567.75
UHBB,81073.4
VANP,81073.4
YPPD,80715.4906
ZBYC,80715.4906
VTSB,80715.4906
URML,80536.5359
MMSM,80221.1406
EDLP,79789.0787
MMMD,79023.8249
PHTO,78928.9097
RJFR,78917.0453
SAME,78791.4804
PAKT,78572.9777
KPSP,78572.9777
WBGR,78529.4749
ZSXZ,78422.6953
KCOS,78297.1304
LUKK,78160.6898
LCPH,77928.3453
KSHV,77777.0742
KLBB,77126.5096
MMMM,76624.25
SCDA,76129.9
SPUR,76129.9
VIAR,75635.55
SKCC,75141.20000000001
SKBG,75141.20000000001
WAYY,74563.79920000001
WABP,74321.56770000001
VVCI,74152.5
VVCA,74152.5
UIAA,74152.5
ZSWH,74152.5
VVDL,74152.5
YMLT,73988.37580000001
LROP,73270.5796
KSAV,73232.0203
KICT,73232.0203
CYFI,73145.0147
LFBO,72175.1
LFOK,71872.55780000001
UAII,71144.87460000001
ZPDL,70852.2194
MGGT,70692.05
UUBW,70513.0953
RKJY,70513.0953
CYQM,69597.5591
FACT,69529.3388
KSBA,69422.5592
RPMR,69209.0
VRMM,69209.0
VQPR,69209.0
FLKK,69064.6498
SMJP,69064.6498
FALE,69064.6498
EGBB,69064.6498
VVBM,68714.65
VVPC,68714.65
RPMY,68714.65
UTDL,68714.65
UTDK,68714.65
VABO,68220.3
SBEG,68220.3
KSYR,67725.95000000001
KRNT,66916.2047
RJSK,66873.6906
RJOI,66873.6906
VABP,66737.25
KFSD,66638.38
KFWA,66638.38
KGTF,66638.38
KMFE,66638.38
KROA,66638.38
RKSO,66556.3179
AYMH,66556.3179
RJOC,66452.5044
KROC,66452.5044
CYXE,65947.2787
EBOS,65924.5386
CAL4,65171.1492
LCEN,65075.2453
MDST,64846.8556
RPLC,64654.0591
UTSS,64643.1834
MMMZ,64580.895300000004
OIMM,63877.9296
DBBB,63771.15
GUCY,63631.7433
KCID,63383.579600000005
RPMZ,63276.8
UATG,63276.8
VVPK,63276.8
RJAH,63234.2859
UNWW,63234.2859
ZBDS,63234.2859
YPKA,63234.2859
ROMY,63234.2859
WIPK,63234.2859
ELLX,63233.2972
EHBK,63233.2972
WAHQ,63141.3481
HSSS,62802.224
SARI,62802.224
RJCB,62730.048899999994
RJEC,62730.048899999994
KHRL,62730.048899999994
ZUYB,61435.8406
YBGD,61435.8406
WAUU,61435.8406
UMMS,61435.8406
LGKR,61435.8406
PAFA,61217.3379
KSWF,61200.53
WAJM,60919.7392
CYNR,60919.7392
MKJS,59890.5025
KPNS,59770.8698
ZSDY,59637.395300000004
OPMT,59637.395300000004
LATI,59637.395300000004
WICT,59637.395300000004
YBMK,59511.830400000006
ZSSR,59511.830400000006
ZSSH,59143.0453
CYKF,58647.706600000005
KSGF,57853.7805
OEGS,57838.950000000004
OEGN,57838.950000000004
VTUK,57838.950000000004
VLVT,57838.950000000004
VMMC,57838.950000000004
WBGB,57838.950000000004
YCWA,57838.950000000004
SCTE,57838.950000000004
WBKW,57838.950000000004
ZSLQ,57344.600000000006
VOCB,57344.600000000006
WBGS,57344.600000000006
HEMK,57344.600000000006
RPVD,57344.600000000006
SPRU,56850.25
VERC,56850.25
LEPA,55861.55
PAJN,55789.3749
KBZN,55789.3749
UATE,55587.680100000005
WAMG,55587.680100000005
SBVT,55367.2
VILH,54926.239799999996
FOOL,54299.404
TXKF,54299.404
SBFL,54298.4153
WIHH,53789.234800000006
MMLP,53382.8791
KHSV,52925.111000000004
SBNF,52553.359800000006
KMAF,52066.9194
LERT,52037.2584
KLAN,52037.2584
EDDB,51991.7782
NCRG,51991.7782
SGAS,51991.7782
SBBE,51412.4
MHLM,50028.22
VVTX,49435.0
EGCN,49435.0
VVPB,49435.0
VVDH,49435.0
RPVP,49435.0
MKJP,49435.0
KRST,48446.3
RJOH,45795.5953
VOTR,45795.5953
RJOR,45795.5953
YBAS,45795.5953
WAJW,45470.313
CYLW,45414.9458
RODN,45374.4091
KRIV,45374.4091
KSCK,45374.4091
RJTY,45374.4091
AYPY,45374.4091
SBCB,45374.4091
SBMO,45363.5334
KSFB,45301.2453
EINN,44846.4433
DXXX,44846.4433
FCPP,44846.4433
EGVN,44846.4433
HTKJ,44491.5
FYWH,44491.5
SCAR,43997.15
UTSB,43997.15
ZGBH,43997.15
RCQC,43997.15
RPVB,43997.15
BKPR,43997.15
VVTH,43997.15
LIME,43997.15
WAWW,43861.6981
WAKK,43861.6981
WIPL,43861.6981
LMML,43502.8
KBTV,43502.8
SBFI,43502.8
KATW,42415.23
KSBN,42415.23
KBFM,42415.23
KFNT,42415.23
RJSN,42156.1906
WIMG,42156.1906
ZYMD,42156.1906
PGSN,42156.1906
LKTB,42156.1906
SBAR,42156.1906
LZIB,42156.1906
DAOR,42156.1906
ZUGY,42156.1906
RKTH,42156.1906
UOOO,42156.1906
SLLP,42156.1906
MPPA,42156.1906
RKNY,42156.1906
RKJK,42156.1906
USII,42156.1906
RJSA,42156.1906
LTCG,42156.1906
ORNI,42063.2528
KOGD,41871.445
GMMX,41724.1287
SAWH,41724.1287
OOSA,41724.1287
MUCC,41724.1287
MUSC,40958.8749
USHH,40568.3384
RORS,40357.7453
ZGZH,40357.7453
YBNA,40357.7453
WICC,40357.7453
WATO,40357.7453
ZHLY,40357.7453
ORSU,40357.7453
ZHNY,40357.7453
WALS,40357.7453
LWSK,40357.7453
VTCT,40357.7453
YSOL,40357.7453
VTSF,40357.7453
VTUI,40357.7453
VTUU,40357.7453
SACO,40357.7453
KECP,40139.2426
PASI,40139.2426
MMVA,39925.6834
OIFM,39925.6834
DRRN,39925.6834
LIPE,39925.6834
LTFH,39925.6834
HDAM,39925.6834
WMKC,39863.395300000004
ZSLY,39863.395300000004
ZBHD,39863.395300000004
VTCN,39863.395300000004
RJFS,39863.395300000004
ZLIC,39863.395300000004
ZHXF,39863.395300000004
LIPO,39761.5592
LICC,39761.5592
LFML,39761.5592
CYWK,39761.5592
SBCG,39160.4296
MMSP,38856.898700000005
KDAY,38574.1305
LPFR,38559.3
SKMR,38559.3
YBRY,38559.3
NZDN,38559.3
UATT,38559.3
KHPN,38559.3
RPMG,38559.3
RPSP,38559.3
RPMP,38559.3
OETB,38559.3
SKVP,38559.3
ZULZ,38559.3
MMAS,38559.3
YNWM,38559.3
KVPS,38433.735100000005
RJCK,38433.735100000005
DFFD,38380.3453
KEUG,38380.3453
LTCB,38380.3453
ZSLG,38380.3453
ZGZJ,38380.3453
RPME,38064.95
SBCY,38064.95
OMRK,38064.95
VISR,38064.95
SPST,38064.95
SBPV,38064.95
VIBN,38064.95
KSRQ,38001.673200000005
ZSAQ,37570.6
VOKN,37570.6
WBKS,37570.6
UNAA,37570.6
VOVZ,37570.6
MMML,37570.6
KPTK,36690.657
UELL,36635.2898
SEMT,36581.9
VAAU,36581.9
SECU,36581.9
USNN,36581.9
KIWA,36581.9
SLCB,36308.0301
KLIT,36087.55
CYXT,36008.454
WMSA,35272.8612
KPSM,35272.8612
KPAE,35272.8612
CYFB,35110.714400000004
EGPH,35110.714400000004
ZPLX,34711.2796
SPME,34604.5
ZUBD,34604.5
OIAW,34509.584800000004
UAFO,34509.584800000004
KTPH,30764.3892
SLTJ,30459.8696
KCPR,25805.07
LRIA,24717.5
VAUD,24717.5
URWA,24717.5
UCFL,24717.5
RPVI,24717.5
MMAA,24717.5
VVCT,24717.5
RCBS,24717.5
LPMA,24717.5
SBPS,24717.5
LRCL,24717.5
ZYJX,24717.5
MDCY,24717.5
ZYDQ,24717.5
KGRB,24717.5
UMKK,24717.5
VARP,24717.5
SCCI,24717.5
WSSL,24223.15
KLFT,24223.15
UWGG,24223.15
KBMI,24223.15
KGJT,24223.15
KHTS,24223.15
KCHA,24223.15
KRSW,24223.15
KGYY,24223.15
KTLH,24223.15
WAQQ,22783.6028
WAGG,22783.6028
EPGD,22660.0153
KSKF,22660.0153
WABB,21078.0953
ZHSY,21078.0953
ZBCZ,21078.0953
HHAS,21078.0953
LIPX,21078.0953
LIMF,21078.0953
HEMA,21078.0953
ZBXZ,21078.0953
CYXU,21078.0953
ZJQH,21078.0953
ZYLD,21078.0953
ZBOW,21078.0953
KELN,21078.0953
ZLGL,21078.0953
LKMT,21078.0953
ZYQQ,21078.0953
GQNN,21078.0953
WADY,21078.0953
EPPO,21078.0953
YNWN,21078.0953
GCFV,21078.0953
YPKG,21078.0953
YBMA,21078.0953
YBHM,21078.0953
KMWA,21078.0953
FMMI,21078.0953
ZSJJ,21078.0953
WMKA,21078.0953
KACV,21078.0953
EPWR,21078.0953
ZUKJ,21078.0953
ZSJA,21078.0953
ZBCD,21078.0953
KSTS,21078.0953
YGIA,21078.0953
YWLM,21078.0953
ZHJZ,21078.0953
WAPF,21078.0953
WAMT,21078.0953
HRYR,21078.0953
ZHSS,21078.0953
ZSHZ,21078.0953
ZWWW,21078.0953
LGSR,21078.0953
ZYDD,21078.0953
KILM,21078.0953
SARE,21078.0953
ORMM,21078.0953
UIBB,21078.0953
DAOF,21078.0953
RCKH,21078.0953
PTKK,21078.0953
PAWG,21078.0953
PASC,21078.0953
UERP,21078.0953
UGSB,21078.0953
PABR,21078.0953
OPFA,21078.0953
RJKA,21078.0953
OISS,21078.0953
URMM,21078.0953
URWW,21078.0953
USUU,21078.0953
UTAT,21078.0953
DABC,21078.0953
UTNU,21078.0953
DAUA,21078.0953
RJCM,21078.0953
RJBD,21078.0953
RJNT,21078.0953
CYYG,21078.0953
SASJ,21078.0953
SAVT,21078.0953
SAWC,21078.0953
LTCA,21078.0953
SANU,21078.0953
SBTE,21078.0953
VTPP,21078.0953
RKPS,21078.0953
UWOR,21078.0953
RJSR,21078.0953
MDPP,21078.0953
RJNW,21078.0953
RJSY,21078.0953
RJSM,21078.0953
NSFA,20646.0334
SYCJ,20646.0334
MUVR,20646.0334
SANE,20646.0334
UGGG,20646.0334
LPPR,20646.0334
SBJU,20646.0334
FKKD,20646.0334
OITR,20646.0334
GMTT,20646.0334
EDDL,20646.0334
SBUL,20646.0334
LOWS,20646.0334
LTDA,20646.0334
LYBE,20646.0334
KXNA,20367.22
LIEE,19880.7796
EGAA,19880.7796
PANI,19880.7796
LEVT,19880.7796
MUHG,19880.7796
ESGJ,19880.7796
CYRT,19880.7796
CYBG,19880.7796
CYZV,19880.7796
LICJ,19880.7796
CYYY,19880.7796
LFKB,19880.7796
EETN,19279.65
MMBT,19279.65
SPYL,19279.65
TNCM,19279.65
UASP,19279.65
MMCN,19279.65
ZGYL,19279.65
SPCL,19279.65
UASS,19279.65
UGKO,19279.65
ZBUH,19279.65
LEIB,19279.65
KLBE,19279.65
WAOP,19279.65
OYAA,19279.65
ZBDT,19279.65
OSDI,19279.65
OSAP,19279.65
SPQT,19279.65
SKNV,19279.65
CYYT,19279.65
SKYP,19279.65
SASA,19279.65
LRBC,19279.65
VTUO,19279.65
RPVR,19279.65
HLLB,19279.65
RPUV,19279.65
ZUZY,19279.65
VVVD,19279.65
ZUXC,19279.65
SBJV,19279.65
SBMG,19279.65
ZUNC,19279.65
RPUT,19279.65
RPMO,19279.65
HELX,19279.65
RPLK,19279.65
SCHA,19279.65
ZSRZ,19279.65
RKPU,19279.65
SKAR,19279.65
SKLT,19279.65
ULAA,19279.65
ZSJD,19279.65
LBWN,19279.65
RPWC,19279.65
ULMM,19279.65
WMKN,19279.65
VDSR,19279.65
VGEG,19279.65
WMKI,19279.65
YCHK,19279.65
MMOX,19279.65
UTNN,19279.65
USCM,19279.65
UTFN,19279.65
MNMG,19279.65
USMU,19279.65
YBPN,19279.65
WPDL,19279.65
NVVV,19279.65
YANG,19279.65
YAYE,19279.65
YBLN,19279.65
UUYY,19279.65
MUCU,19279.65
UWKE,19279.65
KORH,19279.65
EGGP,19279.65
MMTC,19279.65
MMTP,19279.65
WIEE,19279.65
WIJJ,19279.65
WBKL,19279.65
OEHL,19279.65
MMZH,19279.65
YFDF,19279.65
UAFM,18976.1191
PAUN,18976.1191
MMIO,18976.1191
PAOT,18976.1191
ZSLD,18785.3
VOBZ,18785.3
MMEP,18785.3
LGTS,18785.3
VASU,18785.3
VEPT,18785.3
RJOW,18785.3
SCAT,18785.3
VOML,18785.3
NLWW,18785.3
KTTN,18785.3
VTUV,18785.3
RJTH,18785.3
SBCH,18785.3
ZUGU,18785.3
GVNP,18785.3
ZSWA,18785.3
MMVR,18785.3
MMZC,18785.3
ZSSM,18785.3
SPTN,18785.3
MMPB,18785.3
ZGHY,18785.3
ZBHH,18785.3
MMRX,18785.3
MMCZ,18785.3
ZBZJ,18785.3
TIST,18785.3
VIDN,18785.3
VIJU,18785.3
ZLAK,18785.3
UHMA,18785.3
VNBW,18785.3
OIKK,18652.8142
UTAM,17355.6398
ZPZT,17355.6398
ZPBS,17355.6398
PAOM,17355.6398
KAMA,17355.6398
PADQ,17355.6398
PAYA,17355.6398
ZPSM,17355.6398
KBLI,17355.6398
ZSJU,17355.6398
UERR,17355.6398
SAZN,17355.6398
ZBLL,17302.25
ZUKD,17302.25
ZLYL,17302.25
VYMD,17302.25
LTAN,17302.25
KEYW,17302.25
EFOU,17302.25
KPMD,15382.1946
CYZF,15229.9348
EGTE,15229.9348
CYXY,15010.4434
WATK,15010.4434
CYVO,14530.9239
PHNY,14530.9239
KAVL,14350.9805
KGNV,14350.9805
KIAG,14336.15
KGRI,14336.15
KNYL,14336.15
KBAK,14336.15
KTUP,14336.15
KTCL,14336.15
KSDL,14336.15
KGKY,14336.15
OIZH,12136.2925
